rating,title,text,date
5,,supre app,2026-07-05
5,,very good,2026-07-05
5,,soooo nice,2026-07-05
5,,good👍,2026-07-05
5,,"very good trading app ,easy use",2026-07-05
5,,nice,2026-07-05
5,,this app is outstanding mind blowing,2026-07-05
5,,osm,2026-07-05
5,,good,2026-07-05
5,,good,2026-07-05
5,,nice,2026-07-05
5,,good 👍,2026-07-05
4,,good,2026-07-05
5,,good,2026-07-05
5,,Easy to use..,2026-07-05
1,,facing a lot of problem while logging in to the aap.. Account verification got failed after many correct try..when I filled my all details correctly then while sending rs.1 in my account the the verification got failed ....Really much disappointing 🙂,2026-07-05
5,,good excellent groww app,2026-07-05
5,,mast h,2026-07-05
5,,Useful,2026-07-05
5,,good easy to handle groww app for direct purchase of mutual funds.,2026-07-05
5,,Good,2026-07-05
1,,Ya app bahut jada brokerage charges lata ha.,2026-07-05
5,,good,2026-07-05
5,,very good app,2026-07-05
5,,it's very good App,2026-07-05
5,,lallantop,2026-07-05
5,,great,2026-07-05
5,,Best app of Stock Market,2026-07-05
5,,good,2026-07-05
3,,new prime membership for mutual fund section is very annoying. not able to cancel also,2026-07-05
5,,best and best,2026-07-05
5,,good,2026-07-05
5,,is ok,2026-07-05
5,,good,2026-07-05
5,,gano badiya apps he,2026-07-05
5,,Good,2026-07-05
5,,good,2026-07-05
4,,thak you for you,2026-07-04
5,,very good,2026-07-04
5,,supab,2026-07-04
5,,good,2026-07-04
5,,very much,2026-07-04
5,,good,2026-07-04
4,,Good experience,2026-07-04
5,,Nice 👍👍,2026-07-04
2,,brokerage jyada h,2026-07-04
1,,I am trying to verify my bsnl sim it is not verifying while starting sip. although I have msg pack,2026-07-04
4,,good,2026-07-04
5,,kick cash,2026-07-04
5,,naice app,2026-07-04
5,,best work for applying aap,2026-07-04
5,,good,2026-07-04
4,,nice app,2026-07-04
5,,super app,2026-07-04
3,,nice,2026-07-04
5,,great,2026-07-04
5,,excellent,2026-07-04
5,,👌,2026-07-04
5,,super,2026-07-04
5,,nice,2026-07-04
5,,good,2026-07-04
5,,very good,2026-07-04
5,,good,2026-07-04
5,,very nice 👍,2026-07-04
4,,good 👍,2026-07-04
5,,very good,2026-07-04
5,,good,2026-07-04
5,,👑💯💥,2026-07-04
5,,best,2026-07-04
5,,very nice,2026-07-04
5,,awesome 😎😎,2026-07-04
5,,groww app best easily trading very nice good,2026-07-04
4,,nice aap,2026-07-04
5,,awesome app,2026-07-04
5,,profit and revenue candles ke sath debt ka bhi candles add kar do plz,2026-07-04
5,,very good,2026-07-04
5,,nice,2026-07-04
5,,super,2026-07-04
5,,good,2026-07-04
5,,nice,2026-07-04
5,,very good for share trading to all kinds of stock holders.,2026-07-04
5,,good,2026-07-04
5,,good and nice,2026-07-04
5,,good👍,2026-07-04
5,,very nice performance great groww,2026-07-04
5,,good 😊,2026-07-04
5,,nice,2026-07-04
5,,Trusty Up!,2026-07-04
5,,very good,2026-07-04
5,,very nice app thanks for return my money 💰🙏,2026-07-04
1,,ok,2026-07-04
5,,great,2026-07-04
5,,nice,2026-07-04
5,,genuine,2026-07-04
